지역,상호,종류,주소,연락처,메뉴,가격,비고
가평군,남이섬꼬꼬춘천닭갈비,한식,경기도 가평군 가평읍 북한강변로 1045,031-581-2127,닭갈비,12000~15000,할랄 닭고기 사용
고양시,뉴델리,인도식,경기도 고양시 덕양구 화신로272번길 29,070-4105-1010,"커리, 탄두리치킨 등",10000~15000,일부 할랄 육류 사용 및 포크 프리
고양시,산촌(고양점),한식,경기도 고양시 덕양구 보광로 234,031-969-9865,산촌 정식 등,33000~45000,채식 메뉴 제공 및 포크 프리
고양시,성석골남원추어탕,한식,경기도 고양시 일산동구 약산길 50,031-975-8030,"추어탕, 추어칼국수 등",8000~30000,포크 프리
고양시,아시아아시아,인도식,경기도 고양시 일산동구 장항동 868 웨스턴돔 2층,031-901-0086,"커리, 탄두리치킨 등",10000~20000,"할랄 양고기, 할랄 닭고기 사용"
고양시,원당 해물탕,한식,경기도 고양시 덕양구 중앙로 177,02-9159-2224,"해물탕, 해물찜 등",9000~63000,해산물 메뉴 제공 및 포크 프리
고양시,양촌리아구,한식,경기도 고양시 일산서구 대화2로 154,031-911-0430,"아구찜, 아구지리 등",9000~63000,해산물 메뉴 제공 및 포크 프리
고양시,케르반(고양점),터키식,경기도 고양시 덕양구 동산동 370,031-5173-3050,"케밥, 슈니첼, 피데 등",14000~30000,KMF 할랄 인증 보유
과천시,러빙헛 채식뷔페,한식,경기도 과천시 죽바위로 37-24,02-502-8858,채식 뷔페,8000~15000,채식 메뉴 제공 및 포크 프리
과천시,마산 해물찜,한식,경기도 과천시 병양상가로1로 18 지하1층,02-502-7615,"해물찜, 아구찜 등",6000~59000,해산물 메뉴 제공 및 포크 프리
광명시,광명 홍두께 칼국수,한식,경기도 광명시 오리로964번길 17,02-2625-6235,"칼국수, 수제비 등",2000~3500,포크 프리
광주시,쇠뫼기,한식,경기도 광주시 퇴촌면 정영로 580-3,031-767-9852,청국장정식 등,15000~20000,포크 프리
광주시,버섯집,한식,경기도 광주시 퇴촌면 정영로 884,031-769-2292,"버섯샤브샤브, 등심샤브샤브 등",17000~32000,포크 프리
구리시,골목안채,한식,경기도 구리시 경춘로 191-1,031-569-2665,"낚지볶음, 바지락칼국수 등",5000~22000,포크 프리
구리시,기꾸초밥,일식,경기도 구리시 안골로 91,031-551-0667,"초밥, 회 등",10000~29000,생선 메뉴 제공 및 포크 프리
김포시,BK케밥&닭강정,방글라데시식,경기도 김포시 통진읍 조강로 40,031-981-3293,케밥 등,5000~10000,할랄 육류 사용
김포시,해물로,한식,경기도 김포시 승가로 101,031-987-8880,"돌솥굴밥, 해물탕 등",7000~64000,해산물 메뉴 제공 및 포크 프리
김포시,파르투내(김포점),우즈베키스탄식,경기도 김포시 통진읍 조강로44번길 4 2층,031-997-2776,"샤실릭, 솜사 등",7000~10000,할랄 육류 사용 및 현지 요리사
김포시,말리오보로,인도네시아식,경기도 김포시 통진읍 서암로 94-30,031-984-4805,"른당, 사테아얌 등",8000~15000,할랄 육류 사용 및 현지 요리사
김포시,할랄 인디안 레스토랑,인도네시아식,경기도 김포시 통진읍 조강로 43,031-997-2334,"커리, 탄두리치킨 등",8000~15000,할랄 육류 사용 및 현지 요리사
남양주시,바람과 구름,한식,경기도 남양주시 화도읍 북한강로 1502,031-599-8878,"생선구이, 젖갈구이 등",10000~35000,생선 메뉴 제공 및 포크 프리
동두천시,물텀벙,한식,경기도 동두천시 지행로 96-16,031-865-8317,"해물찜, 아구찜 등",30000~55000,해산물 메뉴 제공 및 포크 프리
동두천시,하스케밥,터키식,경기도 동두천시 평화로 2553,031-862-3869,케밥 등,6000~10000,할랄 육류 사용 및 포크 프리
부천시,마살라인디안레스토랑,인도식,경기도 부천시 석천로 169번길 30 302호,032-326-2244,"커리, 탄두리치킨 등",11000~35000,할랄 육류 사용 및 현지 요리사
부천시,맛있는 비빔밥,한식,경기도 부천시 자유로 17,032-665-1220,"비빔밥, 보리밥 등",3500~4500,포크 프리
부천시,안나푸르나 레스토랑,인도식,경기도 부천시 부흥로 402번길 45,032-662-5075,"커리, 탄두리치킨 등",9000~11000,할랄 육류 사용 및 현지 요리사
수원시,기와집,한식,경기도 수원시 권선구 서수원로594번길 251,031-298-8882,"장어구이, 오리훈제 등",35000~45000,포크 프리
성남시,강가(분당점),인도식,경기도 성남시 분당구 서현로 184,031-704-5001,"커리, 탄두리치킨 등",13000~25000,메뉴주문시 할랄식 요청시 제공가능
성남시,고암남원추어탕,한식,경기도 성남시 수정구 산성대로 597,031-742-5666,"추어탕, 삼계탕 등",8000~13000,포크 프리
성남시,디왈리,인도식,경기도 성남시 수정구 성남대로 1334,031-722-0782,"커리, 탄두리치킨 등",9000~22000,할랄 육류 사용 및 포크 프리
성남시,뜰안채(수정점),한식,경기도 성남시 수정구 가마절로 8,031-759-4670,채식 뷔페,10000~12000,채식 메뉴 제공 및 포크 프리
성남시,북촌생태찌개,한식,경기도 성남시 수정구 대왕판교로 907,031-755-2707,"생태찌개, 고등어구이 등",11000~14000,생선 메뉴 제공 및 포크 프리
성남시,아그라타즈,인도식,경기도 성남시 분당구 서현로 248-4 404호,031-495-7149,"커리, 탄두리치킨 등",8000~18000,할랄 육류 사용 및 포크 프리
성남시,양미양미,바베큐식,경기도 성남시 분당구 돌마로 47번길 이코노샤르망,031-607-5420,"양꼬치구이, 양갈비 등",13000~25000,할랄 육류 사용 및 포크 프리
성남시,인디안 커리,인도식,경기도 성남시 분당구 황새울로360번길 21,031-781-2177,"커리, 탄두리치킨 등",11000~14000,할랄 육류 사용 및 현지 요리사
성남시,인디테이블,인도식,경기도 성남시 분당구 동판교로177번길 25,031-708-7022,"커리, 탄두리치킨 등",15000~40000,할랄 육류 사용 및 포크 프리
성남시,채운,한식,경기도 성남시 분당구 하오개로 344번길 1,031-781-7999,"생선구이, 정식 등",12000~20000,포크 프리
수원시,그레이트 히말라야,네팔인도식,경기도 수원시 팔달구 매산로 7-1,031-243-1187,"커리, 탄두리치킨 등",11000~15000,할랄 육류 사용 및 현지 요리사
수원시,난,인도식,경기도 수원시 팔달구 인계로166번길 45 2층,031-237-1090,"커리, 탄두리치킨 등",12000~22000,할랄 육류 사용 및 포크 프리
수원시,델리다바,인도식,경기도 수원시 팔달구 매산로 6-2,031-248-1090,"커리, 탄두리치킨 등",8000~14000,할랄 육류 사용 및 현지 요리사
수원시,뜰안채(수원점),한식,경기도 수원시 권선구 칠보로88번길 125,031-291-5879,채식 뷔페,10000~12000,채식 메뉴 제공 및 포크 프리
수원시,벨라튀니지,지중해식,경기도 수원시 장안구 서부로2106번길 21,031-296-8327,"함무스, 쿠스쿠스 등",6000~13000,할랄 육류 사용 및 현지 요리사
수원시,수엠부(수원점),인도식,경기도 수원시 팔달구 매산로20번길 9,031-258-3305,"커리, 탄두리치킨 등",10000~24000,"할랄 양고기, 할랄 닭고기 사용"
수원시,한양수산,한식,경기도 수원시 영통구 매여울로57번길 17,031-217-6676,민물장어구이 등,30000~50000,포크 프리
수원시,히말라야 정원,네팔인도식,경기도 수원시 팔달구 권광로180번길 19,031-254-0977,"커리, 탄두리치킨 등",8500~25000,할랄 육류 사용 및 현지 요리사
안산시,가루다 레스토랑,인도네시아식,경기도 안산시 단원구 부부로4,031-432-8579,"나시고랭, 미고랭 등",7000~12000,할랄 육류 사용 및 현지 요리사
안산시,긴자인도레스토랑(안산점),인도식,경기도 안산시 단원구 광덕대로151 304호,031-405-3368,"커리, 탄두리치킨 등",8000~20000,할랄 육류 사용
